run_type,graph,trainable,method,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,StringPPI,True,SkipGram,0.15033553990173998,0.9511032104492188,0.977857768535614,0.9281912446022034,0.989764392375946,0.9884471893310547,0.9523773789405823,0.951103150844574,0.9243485331535339,0.022142233327031136,0.07565145194530487,0.9035007953643799
test,StringPPI,True,SkipGram,0.17911898051999248,0.9404006600379944,0.9573344588279724,0.9259732365608215,0.9835333824157715,0.9842162728309631,0.941392719745636,0.9404007792472839,0.9234670996665955,0.04266555607318878,0.07653287798166275,0.8813070058822632
train,StringPPI,False,SkipGram,0.5000284339518882,0.7432392835617065,0.913307249546051,0.6815038919448853,0.8549680709838867,0.85774827003479,0.7805594205856323,0.7432389855384827,0.5731707215309143,0.08669277280569077,0.4268292784690857,0.5173229575157166
test,StringPPI,False,SkipGram,0.4965006079218239,0.745439887046814,0.9152804017066956,0.6832059025764465,0.8569989204406738,0.8597071170806885,0.7823964357376099,0.7454410791397095,0.5756017565727234,0.08471961319446564,0.4243982434272766,0.5219137072563171
train,StringPPI,True,SkipGram,0.13262737301174102,0.958018958568573,0.9853485226631165,0.9342816472053528,0.9925740957260132,0.9915575981140137,0.9591358304023743,0.9580188989639282,0.9306893348693848,0.014651467092335224,0.06931068003177643,0.9174094200134277
test,StringPPI,True,SkipGram,0.16885585120460167,0.9469394087791443,0.9625738263130188,0.9333872199058533,0.9860403537750244,0.9873862266540527,0.9477558732032776,0.9469395279884338,0.9313052296638489,0.0374261699616909,0.06869475543498993,0.8943162560462952
train,StringPPI,False,SkipGram,0.4671614917602843,0.7812594771385193,0.9364396333694458,0.7146432995796204,0.8977656364440918,0.8975890278816223,0.8106440901756287,0.7812591791152954,0.6260787844657898,0.06356033682823181,0.3739212155342102,0.5917394757270813
test,StringPPI,False,SkipGram,0.46504809078822085,0.7808089852333069,0.938517153263092,0.7134737372398376,0.8979411721229553,0.8964211344718933,0.810667097568512,0.7808101177215576,0.6231030225753784,0.06148287281394005,0.37689700722694397,0.5918298363685608
train,StringPPI,True,SkipGram,0.13528241767479698,0.9586825966835022,0.9523662328720093,0.9645512700080872,0.9915611147880554,0.9906218647956848,0.9584200382232666,0.9586825966835022,0.9649989604949951,0.04763377085328102,0.03500104323029518,0.9174383878707886
test,StringPPI,True,SkipGram,0.18593330138379208,0.9475717544555664,0.9302758574485779,0.9636080861091614,0.9834985136985779,0.9849404096603394,0.9466486573219299,0.9475716352462769,0.9648674130439758,0.06972413510084152,0.03513257950544357,0.8956795334815979
train,StringPPI,False,SkipGram,0.4879437030179315,0.7670110464096069,0.9111009836196899,0.7072781920433044,0.8704485297203064,0.8700319528579712,0.7963545918464661,0.7670108079910278,0.622920572757721,0.08889900147914886,0.37707942724227905,0.5576806664466858
test,StringPPI,False,SkipGram,0.4814272020703428,0.7690030932426453,0.9146133065223694,0.7083306312561035,0.8751699328422546,0.8746240735054016,0.7983623147010803,0.7690041065216064,0.6233948469161987,0.08538670092821121,0.37660515308380127,0.5623831152915955
train,StringPPI,True,SkipGram,0.13766099853135977,0.9593114256858826,0.9493226408958435,0.9686745405197144,0.9919305443763733,0.9913902878761292,0.9589009881019592,0.9593114852905273,0.9693002700805664,0.050677329301834106,0.03069974295794964,0.9188061952590942
test,StringPPI,True,SkipGram,0.17677968558090712,0.9486626982688904,0.9284830689430237,0.9675312638282776,0.985501766204834,0.9872326254844666,0.9476050734519958,0.9486625790596008,0.968842089176178,0.07151692360639572,0.031157929450273514,0.8980571031570435
train,StringPPI,False,SkipGram,0.4790412083546882,0.7783479690551758,0.6378999352455139,0.8870770335197449,0.8822133541107178,0.8927932381629944,0.7421310544013977,0.7783482074737549,0.9187964797019958,0.3621000647544861,0.08120352774858475,0.5800502300262451
