run_type,graph,trainable,method,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,StringPPI,True,CBOW,0.1898955903066614,0.9326090216636658,0.9678446054458618,0.9041298031806946,0.9821472764015198,0.9800373315811157,0.9349029064178467,0.932608962059021,0.897373378276825,0.03215540200471878,0.10262664407491684,0.8673744201660156
test,StringPPI,True,CBOW,0.22435979922535332,0.9234874248504639,0.9492460489273071,0.9027385115623474,0.9756450653076172,0.9757996797561646,0.9254083037376404,0.9234876036643982,0.8977291584014893,0.050753943622112274,0.10227083414793015,0.8481011390686035
train,StringPPI,False,CBOW,0.5006053343699154,0.7899541258811951,0.8302903771400452,0.7683095335960388,0.8413158655166626,0.8133706450462341,0.7980983853340149,0.7899540662765503,0.7496178150177002,0.16970965266227722,0.2503821849822998,0.5818045139312744
test,StringPPI,False,CBOW,0.4911029506578407,0.7951650619506836,0.8411924242973328,0.7702821493148804,0.8478806018829346,0.8185924291610718,0.8041771054267883,0.7951654195785522,0.749138355255127,0.15880759060382843,0.25086164474487305,0.5928477644920349
train,StringPPI,True,CBOW,0.20062271122352865,0.927777886390686,0.9684665203094482,0.8955864310264587,0.9797849655151367,0.9764336943626404,0.9306017160415649,0.9277778267860413,0.8870891332626343,0.031533487141132355,0.11291084438562393,0.8584027886390686
test,StringPPI,True,CBOW,0.2443327331893197,0.9171084761619568,0.9464665651321411,0.893974781036377,0.97212153673172,0.9723088145256042,0.9194720983505249,0.9171087145805359,0.8877508640289307,0.05353345721960068,0.11224915087223053,0.8356587886810303
train,StringPPI,False,CBOW,0.5042387361216816,0.7899367809295654,0.8324340581893921,0.7672247290611267,0.8313699960708618,0.7955631017684937,0.7985002398490906,0.7899367213249207,0.7474393844604492,0.1675659567117691,0.2525606155395508,0.5819793939590454
test,StringPPI,False,CBOW,0.4927650001556889,0.7964992523193359,0.8435410857200623,0.771000325679779,0.8400772213935852,0.8011162281036377,0.8056411147117615,0.7964995503425598,0.7494580149650574,0.15645889937877655,0.2505419850349426,0.5956408381462097
train,StringPPI,True,CBOW,0.16107719274101148,0.9467324018478394,0.9711452722549438,0.9259359836578369,0.987377941608429,0.9863642454147339,0.9480019211769104,0.9467324018478394,0.9223195314407349,0.028854738920927048,0.07768049836158752,0.894531786441803
test,StringPPI,True,CBOW,0.20324377881921152,0.9338896870613098,0.9473559856414795,0.9225095510482788,0.9794874787330627,0.980954647064209,0.9347677230834961,0.9338897466659546,0.9204235672950745,0.05264401435852051,0.07957641035318375,0.8680943250656128
train,StringPPI,False,CBOW,0.49796560508060433,0.7911736369132996,0.8220178484916687,0.7742558121681213,0.8431144952774048,0.8146873712539673,0.7974222898483276,0.7911735773086548,0.7603293657302856,0.1779821515083313,0.23967063426971436,0.5834585428237915
test,StringPPI,False,CBOW,0.48950819646500127,0.7960962057113647,0.8366479277610779,0.7738813161849976,0.8487579226493835,0.8167469501495361,0.8040415048599243,0.7960965037345886,0.7555450797080994,0.1633521020412445,0.24445495009422302,0.5941500663757324
train,StringPPI,True,CBOW,0.20914562641760448,0.923738956451416,0.9572755098342896,0.8971041440963745,0.9778187870979309,0.9758460521697998,0.9262136220932007,0.9237388372421265,0.8902022242546082,0.04272447153925896,0.10979779064655304,0.8493905067443848
test,StringPPI,True,CBOW,0.23340713539251914,0.9173933863639832,0.9469946622848511,0.894062876701355,0.97301185131073,0.9728421568870544,0.9197678565979004,0.9173935651779175,0.8877925276756287,0.05300534889101982,0.11220745742321014,0.8362537026405334
train,StringPPI,False,CBOW,0.5063418800204423,0.786312997341156,0.8278964757919312,0.7643300294876099,0.8323380351066589,0.7997718453407288,0.794844388961792,0.7863129377365112,0.7447293400764465,0.17210349440574646,0.25527065992355347,0.5746166706085205
test,StringPPI,False,CBOW,0.49632526779192865,0.7918574810028076,0.8399416208267212,0.7662503719329834,0.8395584225654602,0.8054074048995972,0.8014055490493774,0.7918578386306763,0.7437739968299866,0.16005836427211761,0.2562260329723358,0.5864333510398865
train,StringPPI,True,CBOW,0.20592837654349228,0.929358720779419,0.9285250306129456,0.9300761222839355,0.9783022403717041,0.975199818611145,0.9292998909950256,0.929358720779419,0.9301924705505371,0.07147497683763504,0.0698075219988823,0.8587186932563782
test,StringPPI,True,CBOW,0.2383560366708701,0.9232581257820129,0.9161003232002258,0.9294043183326721,0.9724664688110352,0.9722051620483398,0.9227043390274048,0.9232580661773682,0.9304158091545105,0.08389966189861298,0.0695841908454895,0.8466029167175293
train,StringPPI,False,CBOW,0.5057043376963518,0.7889900207519531,0.8390944600105286,0.7626688480377197,0.8279126286506653,0.7861100435256958,0.7990583777427673,0.7889899015426636,0.7388854026794434,0.16090556979179382,0.26111459732055664,0.580903947353363
test,StringPPI,False,CBOW,0.4947444706143186,0.7951164245605469,0.8513793349266052,0.7652651071548462,0.8346578478813171,0.7882621884346008,0.8060286641120911,0.7951167821884155,0.7388542890548706,0.14862066507339478,0.2611457109451294,0.5940059423446655
train,StringPPI,True,CBOW,0.2064267833817947,0.9309291839599609,0.9301440715789795,0.9316071271896362,0.9782755970954895,0.9745304584503174,0.9308750033378601,0.9309291839599609,0.9317142367362976,0.06985592097043991,0.06828573346138,0.8618593811988831
test,StringPPI,True,CBOW,0.24250619949482524,0.9233415126800537,0.9163227081298828,0.9293678402900696,0.9714245796203613,0.9707742929458618,0.9227991700172424,0.9233414530754089,0.9303601980209351,0.08367729932069778,0.06963977962732315,0.8467664122581482
train,StringPPI,False,CBOW,0.5060870855473711,0.7885174751281738,0.8283342719078064,0.7672370076179504,0.8291082382202148,0.7881885170936584,0.7966158986091614,0.788517415523529,0.7487005591392517,0.1716657280921936,0.2512994110584259,0.578873336315155
test,StringPPI,False,CBOW,0.4982730629017752,0.7923855781555176,0.8374261856079102,0.7682216167449951,0.8342381119728088,0.7889423370361328,0.8013325333595276,0.7923859357833862,0.7473456263542175,0.16257382929325104,0.25265440344810486,0.5871586799621582
train,StringPPI,True,CBOW,0.19927550018755155,0.9324092864990234,0.9338199496269226,0.9311928749084473,0.9799320697784424,0.9771124720573425,0.9325045943260193,0.9324092864990234,0.9309985637664795,0.066180020570755,0.0690014585852623,0.8648219108581543
test,StringPPI,True,CBOW,0.24117587766801843,0.924905002117157,0.9203807711601257,0.9287837743759155,0.9723923206329346,0.9724072813987732,0.9245632290840149,0.9249049425125122,0.9294291138648987,0.07961920648813248,0.07057090103626251,0.849844753742218
train,StringPPI,False,CBOW,0.5097492707633617,0.7846782803535461,0.8308045864105225,0.7606346607208252,0.8263998031616211,0.7851741313934326,0.7941726446151733,0.7846782207489014,0.7385518550872803,0.16919544339179993,0.26144811511039734,0.571794867515564
