run_type,graph,trainable,method,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,StringPPI,True,GloVe,0.10408024454375384,0.9722083806991577,0.9911750555038452,0.9549506306648254,0.9951743483543396,0.9936686754226685,0.9727257490158081,0.9722083210945129,0.9532415866851807,0.008824929594993591,0.046758390963077545,0.945097029209137
test,StringPPI,True,GloVe,0.1776592060598965,0.9483986496925354,0.9429643750190735,0.9533249735832214,0.9841952323913574,0.9854140281677246,0.9481163620948792,0.9483986496925354,0.9538329243659973,0.057035647332668304,0.046167101711034775,0.8968503475189209
train,StringPPI,False,GloVe,0.3951054610467134,0.8381195664405823,0.757422149181366,0.903193473815918,0.9142374396324158,0.9258078336715698,0.8239098191261292,0.8381197452545166,0.9188173413276672,0.24257785081863403,0.08118268102407455,0.6852226853370667
test,StringPPI,False,GloVe,0.3943182637231248,0.8395049571990967,0.7590577602386475,0.9046010375022888,0.9144516587257385,0.9264956712722778,0.825463056564331,0.8395044207572937,0.9199510812759399,0.24094225466251373,0.08004891872406006,0.6879724264144897
train,StringPPI,True,GloVe,0.0952260876497786,0.9759398698806763,0.9920089244842529,0.9611204266548157,0.995780348777771,0.9943004846572876,0.9763203859329224,0.9759398698806763,0.9598707556724548,0.00799107737839222,0.040129248052835464,0.9523716568946838
test,StringPPI,True,GloVe,0.17255701420514843,0.9518104791641235,0.942352831363678,0.9605207443237305,0.9852412343025208,0.9865115880966187,0.9513500332832336,0.9518104195594788,0.9612680077552795,0.057647138833999634,0.038732003420591354,0.9037826061248779
train,StringPPI,False,GloVe,0.3802204622687352,0.8456172943115234,0.7879862785339355,0.8906442523002625,0.9175001382827759,0.929312527179718,0.8361762166023254,0.845617413520813,0.9032485485076904,0.21201372146606445,0.09675144404172897,0.6958727240562439
test,StringPPI,False,GloVe,0.3787417617267118,0.8468775749206543,0.7902160882949829,0.8912085890769958,0.9183605313301086,0.9301393032073975,0.837679386138916,0.8468772172927856,0.9035382866859436,0.2097838968038559,0.09646172821521759,0.6982526779174805
train,StringPPI,True,GloVe,0.10890562446310634,0.9708412289619446,0.971854031085968,0.9698894619941711,0.9945706725120544,0.9931748509407043,0.9708707332611084,0.9708411693572998,0.9698283672332764,0.028145965188741684,0.030171634629368782,0.9416842460632324
test,StringPPI,True,GloVe,0.19421166618666164,0.9450910687446594,0.921603798866272,0.967028796672821,0.9834161996841431,0.9851455688476562,0.9437699913978577,0.9450908899307251,0.968578040599823,0.07839622348546982,0.03142198175191879,0.8911658525466919
train,StringPPI,False,GloVe,0.38967982787554845,0.8420943021774292,0.7788208723068237,0.891657829284668,0.9145353436470032,0.9264764785766602,0.8314284086227417,0.8420944213867188,0.905367910861969,0.22117914259433746,0.09463205933570862,0.6897337436676025
test,StringPPI,False,GloVe,0.38651153734298055,0.8446609377861023,0.7845458984375,0.8917604088783264,0.9156109690666199,0.9277125597000122,0.834724485874176,0.8446605205535889,0.9047751426696777,0.2154541015625,0.09522485733032227,0.694358229637146
train,StringPPI,True,GloVe,0.10642161663228977,0.9708741903305054,0.9894413352012634,0.954014778137207,0.9945485591888428,0.9929970502853394,0.9714052081108093,0.9708741903305054,0.9523069858551025,0.01055864617228508,0.047693002969026566,0.9423984885215759
test,StringPPI,True,GloVe,0.16674024376018828,0.9501010775566101,0.9483427405357361,0.9516889452934265,0.9858934879302979,0.9866529107093811,0.9500128626823425,0.9501011371612549,0.9518594741821289,0.051657285541296005,0.04814052954316139,0.9002076983451843
train,StringPPI,False,GloVe,0.3832643608950134,0.8409078121185303,0.8261488676071167,0.8512771725654602,0.91395503282547,0.9268218278884888,0.8385248184204102,0.8409078121185303,0.8556667566299438,0.1738511025905609,0.14433325827121735,0.6821128129959106
test,StringPPI,False,GloVe,0.3770342401984091,0.8442787528038025,0.8337711095809937,0.8516672849655151,0.9174328446388245,0.9300832748413086,0.8426241874694824,0.8442786931991577,0.8547862768173218,0.16622889041900635,0.14521373808383942,0.688709557056427
train,StringPPI,True,GloVe,0.09773779547278488,0.9747273325920105,0.9911507368087769,0.9596299529075623,0.9953051805496216,0.9938188791275024,0.9751356840133667,0.9747272729873657,0.9583038091659546,0.0088492501527071,0.04169619828462601,0.9499672651290894
test,StringPPI,True,GloVe,0.16690444806545698,0.9526304602622986,0.9476756453514099,0.9571601152420044,0.9862127304077148,0.9871947765350342,0.9523942470550537,0.9526304006576538,0.9575852155685425,0.05232436954975128,0.04241481050848961,0.9053052663803101
train,StringPPI,False,GloVe,0.3812617688998296,0.842905580997467,0.8119560480117798,0.8655321002006531,0.9152607917785645,0.9266985058784485,0.8378885388374329,0.8429056406021118,0.8738551735877991,0.18804395198822021,0.12614481151103973,0.6871287822723389
test,StringPPI,False,GloVe,0.37569936535711324,0.8474821448326111,0.8191508650779724,0.8683520555496216,0.9182608127593994,0.9292855858802795,0.8430342078208923,0.8474819660186768,0.8758130073547363,0.1808491349220276,0.12418700009584427,0.696082353591919
train,StringPPI,True,GloVe,0.10893463220488415,0.9703930020332336,0.9882079362869263,0.9542096853256226,0.9944261312484741,0.9926967024803162,0.9709112644195557,0.9703929424285889,0.9525780081748962,0.01179205160588026,0.04742199927568436,0.9413837790489197
test,StringPPI,True,GloVe,0.17174429862049326,0.9500663876533508,0.9471614360809326,0.9526957869529724,0.9853510856628418,0.9859967827796936,0.9499205350875854,0.950066328048706,0.9529712796211243,0.05283857882022858,0.047028739005327225,0.9001479148864746
train,StringPPI,False,GloVe,0.38679028742459065,0.8385782241821289,0.8369715809822083,0.8396701216697693,0.9147017598152161,0.9264357089996338,0.8383187055587769,0.8385782241821289,0.8401848673820496,0.16302840411663055,0.15981516242027283,0.6771599054336548
test,StringPPI,False,GloVe,0.38231520431608695,0.8426458239555359,0.8433465361595154,0.8421644568443298,0.9172969460487366,0.928453803062439,0.8427550792694092,0.8426457643508911,0.8419450521469116,0.15665346384048462,0.158054918050766,0.6852923035621643
train,StringPPI,True,GloVe,0.119158075141248,0.9669064283370972,0.9837399125099182,0.9516992568969727,0.9937193989753723,0.9919239282608032,0.9674543738365173,0.9669064283370972,0.9500729441642761,0.01626010611653328,0.049927037209272385,0.934342622756958
test,StringPPI,True,GloVe,0.18323986312703575,0.946418285369873,0.9425474405288696,0.9499005675315857,0.9832264184951782,0.9843694567680359,0.946209728717804,0.946418285369873,0.9502890706062317,0.057452574372291565,0.04971093311905861,0.8928633332252502
train,StringPPI,False,GloVe,0.3820701580768706,0.8402007222175598,0.8398483991622925,0.8404411673545837,0.9159870147705078,0.9281282424926758,0.8401446342468262,0.8402007818222046,0.8405531048774719,0.1601516157388687,0.15944688022136688,0.6804016828536987
test,StringPPI,False,GloVe,0.38110382367213874,0.840616762638092,0.8413869738578796,0.8400910496711731,0.9166879653930664,0.9289527535438538,0.8407384753227234,0.840616762638092,0.8398465514183044,0.15861302614212036,0.16015343368053436,0.6812344193458557
train,StringPPI,True,GloVe,0.11642828965665719,0.9674640893936157,0.9683935642242432,0.9665968418121338,0.9937546849250793,0.992206871509552,0.9674943685531616,0.9674640893936157,0.9665346145629883,0.03160645067691803,0.03346535935997963,0.9349298477172852
test,StringPPI,True,GloVe,0.19736954073943022,0.9457998275756836,0.9238412976264954,0.9662766456604004,0.9827209711074829,0.9844951033592224,0.9445825815200806,0.945799708366394,0.967758059501648,0.07615870982408524,0.03224192559719086,0.8924606442451477
train,StringPPI,False,GloVe,0.3749273519896324,0.8462792038917542,0.8326737880706787,0.855965793132782,0.9190075993537903,0.9304943680763245,0.8441591262817383,0.8462792634963989,0.8598846793174744,0.16732622683048248,0.14011535048484802,0.6928150057792664
test,StringPPI,False,GloVe,0.374637164359871,0.8466969132423401,0.8353276252746582,0.8547618985176086,0.9190766215324402,0.9309984445571899,0.844933032989502,0.8466968536376953,0.8580660223960876,0.1646723598241806,0.14193396270275116,0.6935730576515198
train,StringPPI,True,GloVe,0.10065753127460164,0.974242627620697,0.99256831407547,0.9574756026268005,0.9953183531761169,0.9936263561248779,0.9747061729431152,0.9742425680160522,0.9559168815612793,0.007431702222675085,0.04408310726284981,0.9491229057312012
test,StringPPI,True,GloVe,0.17287467646811372,0.9512823820114136,0.9465499520301819,0.9555938839912415,0.9849708080291748,0.9859525561332703,0.9510504007339478,0.9512823820114136,0.9560148119926453,0.053450074046850204,0.043985214084386826,0.9026051759719849
train,StringPPI,False,GloVe,0.3786494113057612,0.8455182909965515,0.7905434370040894,0.8882014155387878,0.9171197414398193,0.9288135766983032,0.8365318775177002,0.8455184102058411,0.9004933834075928,0.20945657789707184,0.09950663894414902,0.6952519416809082
test,StringPPI,False,GloVe,0.3761218314119115,0.84828120470047,0.7944826483726501,0.8902714252471924,0.9179672002792358,0.9301098585128784,0.8396539688110352,0.8482808470726013,0.9020790457725525,0.20551733672618866,0.09792095422744751,0.700629472732544
train,StringPPI,True,GloVe,0.10753987345886074,0.9715465307235718,0.9706866145133972,0.9723589420318604,0.9948251247406006,0.9933783411979675,0.9715220928192139,0.9715465307235718,0.9724063873291016,0.029313357546925545,0.02759363502264023,0.9430944323539734
test,StringPPI,True,GloVe,0.18510578653338605,0.9488919973373413,0.9247168302536011,0.9716981053352356,0.9849185943603516,0.9867323637008667,0.9476255178451538,0.9488918781280518,0.9730668663978577,0.07528316229581833,0.026933126151561737,0.8988351821899414
train,StringPPI,False,GloVe,0.3800820710459637,0.8439791202545166,0.8114835023880005,0.8678891658782959,0.9160991311073303,0.9273104071617126,0.8387390971183777,0.8439791798591614,0.8764748573303223,0.18851646780967712,0.12352512031793594,0.6894159317016602
test,StringPPI,False,GloVe,0.37462994116873044,0.8470929861068726,0.816955029964447,0.8693543076515198,0.9189554452896118,0.9294849634170532,0.8423405885696411,0.8470927476882935,0.8772305250167847,0.18304495513439178,0.12276946753263474,0.6954502463340759
train,StringPPI,True,GloVe,0.1079007017462364,0.9707682132720947,0.9894830584526062,0.953783392906189,0.9946308732032776,0.9928754568099976,0.9713053107261658,0.9707682132720947,0.9520533680915833,0.010516953654587269,0.04794663190841675,0.9421967267990112
test,StringPPI,True,GloVe,0.17622414869795816,0.9489684700965881,0.9459801316261292,0.9516672492027283,0.9844930171966553,0.9854400157928467,0.9488151669502258,0.9489684104919434,0.9519567489624023,0.05401987209916115,0.04804324731230736,0.8979529738426208
train,StringPPI,False,GloVe,0.3835922873653804,0.8398568034172058,0.8388755321502686,0.8405255079269409,0.9155024886131287,0.9279054403305054,0.8396997451782227,0.839856743812561,0.8408380150794983,0.16112445294857025,0.15916197001934052,0.6797149181365967
test,StringPPI,False,GloVe,0.37974368959977794,0.8429237604141235,0.8436661958694458,0.8424134850502014,0.9176546335220337,0.9300951361656189,0.843039333820343,0.8429237604141235,0.8421813249588013,0.1563338190317154,0.15781866014003754,0.6858482360839844
train,StringPPI,True,GloVe,0.10966971781557093,0.9700056314468384,0.9885796904563904,0.9531711935997009,0.9945043325424194,0.9928439259529114,0.9705526232719421,0.9700055718421936,0.9514314532279968,0.011420292779803276,0.04856855049729347,0.9406605362892151
test,StringPPI,True,GloVe,0.17580041336597493,0.9486974477767944,0.9449239373207092,0.9521088600158691,0.9843102097511292,0.9855685234069824,0.948502779006958,0.9486974477767944,0.9524709582328796,0.05507608875632286,0.04752904549241066,0.8974205255508423
train,StringPPI,False,GloVe,0.38549853163882497,0.8435813188552856,0.7715072631835938,0.9014500975608826,0.9175998568534851,0.9287124872207642,0.8314321637153625,0.8435814380645752,0.9156556129455566,0.22849270701408386,0.08434437960386276,0.6944152116775513
test,StringPPI,False,GloVe,0.3808197563980205,0.8462799787521362,0.7779723405838013,0.9010704159736633,0.9196789264678955,0.9299789071083069,0.835008978843689,0.846279501914978,0.9145866632461548,0.22202765941619873,0.08541330695152283,0.6991141438484192
train,StringPPI,True,GloVe,0.10036609012791488,0.9751216173171997,0.9781947731971741,0.9722193479537964,0.9956661462783813,0.9942828416824341,0.9751979112625122,0.9751216173171997,0.9720485210418701,0.02180521935224533,0.027951497584581375,0.9502612352371216
test,StringPPI,True,GloVe,0.19742325686250242,0.9460777640342712,0.9203252196311951,0.9702999591827393,0.9833382368087769,0.985633373260498,0.9446520805358887,0.9460775852203369,0.9718300104141235,0.07967479526996613,0.028169993311166763,0.8933411836624146
train,StringPPI,False,GloVe,0.3794195949531677,0.8426675796508789,0.8357138633728027,0.8475008606910706,0.916903555393219,0.9288182258605957,0.8415660858154297,0.8426675796508789,0.8496212959289551,0.16428613662719727,0.15037870407104492,0.685401439666748
test,StringPPI,False,GloVe,0.3773650614451857,0.8443830013275146,0.8386213779449463,0.848395824432373,0.9177609086036682,0.9301120042800903,0.8434802889823914,0.8443829417228699,0.8501445055007935,0.1613786369562149,0.14985546469688416,0.6888116598129272
train,StringPPI,True,GloVe,0.10594032007134806,0.9727746844291687,0.9749913811683655,0.9706880450248718,0.9947105646133423,0.9930799007415771,0.9728349447250366,0.9727746844291687,0.9705579876899719,0.02500859834253788,0.029442012310028076,0.9455586671829224
test,StringPPI,True,GloVe,0.18334930508227337,0.9478636384010315,0.925508975982666,0.9688236713409424,0.9847332835197449,0.9858109951019287,0.9466711282730103,0.9478634595870972,0.9702178835868835,0.0744910016655922,0.029782088473439217,0.8966236114501953
train,StringPPI,False,GloVe,0.3837557511149433,0.8438158631324768,0.7787409424781799,0.8952592611312866,0.9157777428627014,0.9282799959182739,0.8329449892044067,0.8438159227371216,0.908890962600708,0.22125904262065887,0.0911090299487114,0.6935308575630188
test,StringPPI,False,GloVe,0.3802120886826059,0.8459534049034119,0.7840039134025574,0.89487624168396,0.917261004447937,0.9296327829360962,0.8357791304588318,0.8459529876708984,0.9079020619392395,0.21599610149860382,0.0920979455113411,0.6972789764404297
train,StringPPI,True,GloVe,0.10843729577109167,0.9707404375076294,0.9698528051376343,0.9715777635574341,0.9946665167808533,0.993107795715332,0.9707145094871521,0.9707404375076294,0.9716281294822693,0.030147209763526917,0.02837189845740795,0.941482424736023
test,StringPPI,True,GloVe,0.1847667062047144,0.9482805132865906,0.9252310395240784,0.9699437618255615,0.9848207831382751,0.9859284162521362,0.9470599293708801,0.9482803344726562,0.9713296890258789,0.07476895302534103,0.02867029793560505,0.8975151181221008
